Card,MM-DD,Normalized Date,System,Source,Confidence,Notes
10 of Clubs,01-30,2000-01-30,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).
10 of Diamonds,07-31,2000-07-31,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).
10 of Hearts,01-17,2000-01-17,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).
10 of Spades,01-04,2000-01-04,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).
2 of Clubs,05-30,2000-05-30,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).
2 of Diamonds,08-11,2000-08-11,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).
2 of Hearts,01-25,2000-01-25,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).
2 of Spades,01-12,2000-01-12,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).
3 of Clubs,05-29,2000-05-29,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).
3 of Diamonds,08-10,2000-08-10,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).
3 of Hearts,01-24,2000-01-24,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).
3 of Spades,01-11,2000-01-11,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).
4 of Clubs,04-30,2000-04-30,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).
4 of Diamonds,08-09,2000-08-09,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).
4 of Hearts,01-23,2000-01-23,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).
4 of Spades,01-10,2000-01-10,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).
5 of Clubs,03-31,2000-03-31,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).
5 of Diamonds,08-08,2000-08-08,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).
5 of Hearts,01-22,2000-01-22,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).
5 of Spades,01-09,2000-01-09,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).
6 of Clubs,03-30,2000-03-30,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).
6 of Diamonds,08-07,2000-08-07,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).
6 of Hearts,01-21,2000-01-21,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).
6 of Spades,01-08,2000-01-08,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).
7 of Clubs,03-29,2000-03-29,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).
7 of Diamonds,08-06,2000-08-06,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).
7 of Hearts,01-20,2000-01-20,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).
7 of Spades,01-07,2000-01-07,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).
8 of Clubs,03-28,2000-03-28,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).
8 of Diamonds,08-05,2000-08-05,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).
8 of Hearts,01-19,2000-01-19,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).
8 of Spades,01-06,2000-01-06,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).
9 of Clubs,01-31,2000-01-31,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).
9 of Diamonds,08-04,2000-08-04,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).
9 of Hearts,01-18,2000-01-18,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).
9 of Spades,01-05,2000-01-05,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).
Ace of Clubs,05-31,2000-05-31,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).
Ace of Diamonds,08-12,2000-08-12,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).
Ace of Hearts,01-26,2000-01-26,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).
Ace of Spades,01-13,2000-01-13,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).
Jack of Clubs,01-29,2000-01-29,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).
Jack of Diamonds,07-30,2000-07-30,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).
Jack of Hearts,01-16,2000-01-16,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).
Jack of Spades,01-03,2000-01-03,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).
Jocker,12-31,2000-12-31,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).
King of Clubs,01-27,2000-01-27,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).
King of Diamonds,06-30,2000-06-30,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).
King of Hearts,01-14,2000-01-14,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).
King of Spades,01-01,2000-01-01,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).
Queen of Clubs,01-28,2000-01-28,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).
Queen of Diamonds,07-29,2000-07-29,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).
Queen of Hearts,01-15,2000-01-15,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).
Queen of Spades,01-02,2000-01-02,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).
