MM-DD,Normalized Date,Card,System,Source,Confidence,Notes,Rank,Suit,Suit Order,Rank Order
01-01,2000-01-01,King of Spades,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,,,,
01-02,2000-01-02,Queen of Spades,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,,,,
01-03,2000-01-03,Jack of Spades,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,,,,
01-04,2000-01-04,10 of Spades,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,10,Spades,1.0,10.0
01-05,2000-01-05,9 of Spades,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,9,Spades,1.0,9.0
01-06,2000-01-06,8 of Spades,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,8,Spades,1.0,8.0
01-07,2000-01-07,7 of Spades,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,7,Spades,1.0,7.0
01-08,2000-01-08,6 of Spades,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,6,Spades,1.0,6.0
01-09,2000-01-09,5 of Spades,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,5,Spades,1.0,5.0
01-10,2000-01-10,4 of Spades,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,4,Spades,1.0,4.0
01-11,2000-01-11,3 of Spades,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,3,Spades,1.0,3.0
01-12,2000-01-12,2 of Spades,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,2,Spades,1.0,2.0
01-13,2000-01-13,Ace of Spades,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,,,,
01-14,2000-01-14,King of Hearts,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,,,,
01-15,2000-01-15,Queen of Hearts,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,,,,
01-16,2000-01-16,Jack of Hearts,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,,,,
01-17,2000-01-17,10 of Hearts,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,10,Hearts,4.0,10.0
01-18,2000-01-18,9 of Hearts,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,9,Hearts,4.0,9.0
01-19,2000-01-19,8 of Hearts,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,8,Hearts,4.0,8.0
01-20,2000-01-20,7 of Hearts,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,7,Hearts,4.0,7.0
01-21,2000-01-21,6 of Hearts,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,6,Hearts,4.0,6.0
01-22,2000-01-22,5 of Hearts,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,5,Hearts,4.0,5.0
01-23,2000-01-23,4 of Hearts,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,4,Hearts,4.0,4.0
01-24,2000-01-24,3 of Hearts,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,3,Hearts,4.0,3.0
01-25,2000-01-25,2 of Hearts,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,2,Hearts,4.0,2.0
01-26,2000-01-26,Ace of Hearts,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,,,,
01-27,2000-01-27,King of Clubs,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,,,,
01-28,2000-01-28,Queen of Clubs,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,,,,
01-29,2000-01-29,Jack of Clubs,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,,,,
01-30,2000-01-30,10 of Clubs,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,10,Clubs,3.0,10.0
01-31,2000-01-31,9 of Clubs,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,9,Clubs,3.0,9.0
02-01,2000-02-01,Jack of Spades,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,,,,
02-02,2000-02-02,10 of Spades,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,10,Spades,1.0,10.0
02-03,2000-02-03,9 of Spades,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,9,Spades,1.0,9.0
02-04,2000-02-04,8 of Spades,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,8,Spades,1.0,8.0
02-05,2000-02-05,7 of Spades,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,7,Spades,1.0,7.0
02-06,2000-02-06,6 of Spades,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,6,Spades,1.0,6.0
02-07,2000-02-07,5 of Spades,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,5,Spades,1.0,5.0
02-08,2000-02-08,4 of Spades,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,4,Spades,1.0,4.0
02-09,2000-02-09,3 of Spades,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,3,Spades,1.0,3.0
02-10,2000-02-10,2 of Spades,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,2,Spades,1.0,2.0
02-11,2000-02-11,Ace of Spades,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,,,,
02-12,2000-02-12,King of Hearts,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,,,,
02-13,2000-02-13,Queen of Hearts,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,,,,
02-14,2000-02-14,Jack of Hearts,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,,,,
02-15,2000-02-15,10 of Hearts,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,10,Hearts,4.0,10.0
02-16,2000-02-16,9 of Hearts,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,9,Hearts,4.0,9.0
02-17,2000-02-17,8 of Hearts,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,8,Hearts,4.0,8.0
02-18,2000-02-18,7 of Hearts,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,7,Hearts,4.0,7.0
02-19,2000-02-19,6 of Hearts,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,6,Hearts,4.0,6.0
02-20,2000-02-20,5 of Hearts,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,5,Hearts,4.0,5.0
02-21,2000-02-21,4 of Hearts,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,4,Hearts,4.0,4.0
02-22,2000-02-22,3 of Hearts,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,3,Hearts,4.0,3.0
02-23,2000-02-23,2 of Hearts,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,2,Hearts,4.0,2.0
02-24,2000-02-24,Ace of Hearts,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,,,,
02-25,2000-02-25,King of Clubs,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,,,,
02-26,2000-02-26,Queen of Clubs,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,,,,
02-27,2000-02-27,Jack of Clubs,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,,,,
02-28,2000-02-28,10 of Clubs,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,10,Clubs,3.0,10.0
02-29,2000-02-29,9 of Clubs,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,9,Clubs,3.0,9.0
03-01,2000-03-01,9 of Spades,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,9,Spades,1.0,9.0
03-02,2000-03-02,8 of Spades,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,8,Spades,1.0,8.0
03-03,2000-03-03,7 of Spades,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,7,Spades,1.0,7.0
03-04,2000-03-04,6 of Spades,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,6,Spades,1.0,6.0
03-05,2000-03-05,5 of Spades,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,5,Spades,1.0,5.0
03-06,2000-03-06,4 of Spades,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,4,Spades,1.0,4.0
03-07,2000-03-07,3 of Spades,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,3,Spades,1.0,3.0
03-08,2000-03-08,2 of Spades,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,2,Spades,1.0,2.0
03-09,2000-03-09,Ace of Spades,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,,,,
03-10,2000-03-10,King of Hearts,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,,,,
03-11,2000-03-11,Queen of Hearts,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,,,,
03-12,2000-03-12,Jack of Hearts,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,,,,
03-13,2000-03-13,10 of Hearts,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,10,Hearts,4.0,10.0
03-14,2000-03-14,9 of Hearts,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,9,Hearts,4.0,9.0
03-15,2000-03-15,8 of Hearts,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,8,Hearts,4.0,8.0
03-16,2000-03-16,7 of Hearts,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,7,Hearts,4.0,7.0
03-17,2000-03-17,6 of Hearts,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,6,Hearts,4.0,6.0
03-18,2000-03-18,5 of Hearts,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,5,Hearts,4.0,5.0
03-19,2000-03-19,4 of Hearts,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,4,Hearts,4.0,4.0
03-20,2000-03-20,3 of Hearts,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,3,Hearts,4.0,3.0
03-21,2000-03-21,2 of Hearts,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,2,Hearts,4.0,2.0
03-22,2000-03-22,Ace of Hearts,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,,,,
03-23,2000-03-23,King of Clubs,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,,,,
03-24,2000-03-24,Queen of Clubs,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,,,,
03-25,2000-03-25,Jack of Clubs,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,,,,
03-26,2000-03-26,10 of Clubs,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,10,Clubs,3.0,10.0
03-27,2000-03-27,9 of Clubs,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,9,Clubs,3.0,9.0
03-28,2000-03-28,8 of Clubs,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,8,Clubs,3.0,8.0
03-29,2000-03-29,7 of Clubs,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,7,Clubs,3.0,7.0
03-30,2000-03-30,6 of Clubs,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,6,Clubs,3.0,6.0
03-31,2000-03-31,5 of Clubs,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,5,Clubs,3.0,5.0
04-01,2000-04-01,7 of Spades,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,7,Spades,1.0,7.0
04-02,2000-04-02,6 of Spades,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,6,Spades,1.0,6.0
04-03,2000-04-03,5 of Spades,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,5,Spades,1.0,5.0
04-04,2000-04-04,4 of Spades,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,4,Spades,1.0,4.0
04-05,2000-04-05,3 of Spades,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,3,Spades,1.0,3.0
04-06,2000-04-06,2 of Spades,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,2,Spades,1.0,2.0
04-07,2000-04-07,Ace of Spades,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,,,,
04-08,2000-04-08,King of Hearts,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,,,,
04-09,2000-04-09,Queen of Hearts,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,,,,
04-10,2000-04-10,Jack of Hearts,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,,,,
04-11,2000-04-11,10 of Hearts,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,10,Hearts,4.0,10.0
04-12,2000-04-12,9 of Hearts,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,9,Hearts,4.0,9.0
04-13,2000-04-13,8 of Hearts,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,8,Hearts,4.0,8.0
04-14,2000-04-14,7 of Hearts,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,7,Hearts,4.0,7.0
04-15,2000-04-15,6 of Hearts,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,6,Hearts,4.0,6.0
04-16,2000-04-16,5 of Hearts,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,5,Hearts,4.0,5.0
04-17,2000-04-17,4 of Hearts,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,4,Hearts,4.0,4.0
04-18,2000-04-18,3 of Hearts,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,3,Hearts,4.0,3.0
04-19,2000-04-19,2 of Hearts,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,2,Hearts,4.0,2.0
04-20,2000-04-20,Ace of Hearts,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,,,,
04-21,2000-04-21,King of Clubs,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,,,,
04-22,2000-04-22,Queen of Clubs,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,,,,
04-23,2000-04-23,Jack of Clubs,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,,,,
04-24,2000-04-24,10 of Clubs,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,10,Clubs,3.0,10.0
04-25,2000-04-25,9 of Clubs,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,9,Clubs,3.0,9.0
04-26,2000-04-26,8 of Clubs,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,8,Clubs,3.0,8.0
04-27,2000-04-27,7 of Clubs,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,7,Clubs,3.0,7.0
04-28,2000-04-28,6 of Clubs,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,6,Clubs,3.0,6.0
04-29,2000-04-29,5 of Clubs,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,5,Clubs,3.0,5.0
04-30,2000-04-30,4 of Clubs,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,4,Clubs,3.0,4.0
