MM-DD,Normalized Date,Card,System,Source,Confidence,Notes,Rank,Suit,Suit Order,Rank Order
08-31,2000-08-31,8 of Diamonds,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,8,Diamonds,2.0,8.0
09-01,2000-09-01,10 of Diamonds,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,10,Diamonds,2.0,10.0
09-02,2000-09-02,9 of Diamonds,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,9,Diamonds,2.0,9.0
09-03,2000-09-03,8 of Diamonds,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,8,Diamonds,2.0,8.0
09-04,2000-09-04,7 of Diamonds,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,7,Diamonds,2.0,7.0
09-05,2000-09-05,6 of Diamonds,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,6,Diamonds,2.0,6.0
09-06,2000-09-06,5 of Diamonds,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,5,Diamonds,2.0,5.0
09-07,2000-09-07,4 of Diamonds,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,4,Diamonds,2.0,4.0
09-08,2000-09-08,3 of Diamonds,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,3,Diamonds,2.0,3.0
09-09,2000-09-09,2 of Diamonds,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,2,Diamonds,2.0,2.0
09-10,2000-09-10,Ace of Diamonds,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,,,,
09-11,2000-09-11,King of Clubs,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,,,,
09-12,2000-09-12,Queen of Clubs,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,,,,
09-13,2000-09-13,Jack of Clubs,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,,,,
09-14,2000-09-14,10 of Clubs,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,10,Clubs,3.0,10.0
09-15,2000-09-15,9 of Clubs,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,9,Clubs,3.0,9.0
09-16,2000-09-16,8 of Clubs,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,8,Clubs,3.0,8.0
09-17,2000-09-17,7 of Clubs,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,7,Clubs,3.0,7.0
09-18,2000-09-18,6 of Clubs,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,6,Clubs,3.0,6.0
09-19,2000-09-19,5 of Clubs,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,5,Clubs,3.0,5.0
09-20,2000-09-20,4 of Clubs,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,4,Clubs,3.0,4.0
09-21,2000-09-21,3 of Clubs,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,3,Clubs,3.0,3.0
09-22,2000-09-22,2 of Clubs,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,2,Clubs,3.0,2.0
09-23,2000-09-23,Ace of Clubs,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,,,,
09-24,2000-09-24,King of Diamonds,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,,,,
09-25,2000-09-25,Queen of Diamonds,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,,,,
09-26,2000-09-26,Jack of Diamonds,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,,,,
09-27,2000-09-27,10 of Diamonds,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,10,Diamonds,2.0,10.0
09-28,2000-09-28,9 of Diamonds,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,9,Diamonds,2.0,9.0
09-29,2000-09-29,8 of Diamonds,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,8,Diamonds,2.0,8.0
09-30,2000-09-30,7 of Diamonds,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,7,Diamonds,2.0,7.0
10-01,2000-10-01,8 of Diamonds,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,8,Diamonds,2.0,8.0
10-02,2000-10-02,7 of Diamonds,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,7,Diamonds,2.0,7.0
10-03,2000-10-03,6 of Diamonds,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,6,Diamonds,2.0,6.0
10-04,2000-10-04,5 of Diamonds,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,5,Diamonds,2.0,5.0
10-05,2000-10-05,4 of Diamonds,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,4,Diamonds,2.0,4.0
10-06,2000-10-06,3 of Diamonds,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,3,Diamonds,2.0,3.0
10-07,2000-10-07,2 of Diamonds,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,2,Diamonds,2.0,2.0
10-08,2000-10-08,Ace of Diamonds,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,,,,
10-09,2000-10-09,King of Clubs,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,,,,
10-10,2000-10-10,Queen of Clubs,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,,,,
10-11,2000-10-11,Jack of Clubs,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,,,,
10-12,2000-10-12,10 of Clubs,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,10,Clubs,3.0,10.0
10-13,2000-10-13,9 of Clubs,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,9,Clubs,3.0,9.0
10-14,2000-10-14,8 of Clubs,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,8,Clubs,3.0,8.0
10-15,2000-10-15,7 of Clubs,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,7,Clubs,3.0,7.0
10-16,2000-10-16,6 of Clubs,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,6,Clubs,3.0,6.0
10-17,2000-10-17,5 of Clubs,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,5,Clubs,3.0,5.0
10-18,2000-10-18,4 of Clubs,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,4,Clubs,3.0,4.0
10-19,2000-10-19,3 of Clubs,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,3,Clubs,3.0,3.0
10-20,2000-10-20,2 of Clubs,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,2,Clubs,3.0,2.0
10-21,2000-10-21,Ace of Clubs,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,,,,
10-22,2000-10-22,King of Diamonds,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,,,,
10-23,2000-10-23,Queen of Diamonds,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,,,,
10-24,2000-10-24,Jack of Diamonds,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,,,,
10-25,2000-10-25,10 of Diamonds,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,10,Diamonds,2.0,10.0
10-26,2000-10-26,9 of Diamonds,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,9,Diamonds,2.0,9.0
10-27,2000-10-27,8 of Diamonds,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,8,Diamonds,2.0,8.0
10-28,2000-10-28,7 of Diamonds,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,7,Diamonds,2.0,7.0
10-29,2000-10-29,6 of Diamonds,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,6,Diamonds,2.0,6.0
10-30,2000-10-30,5 of Diamonds,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,5,Diamonds,2.0,5.0
10-31,2000-10-31,4 of Diamonds,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,4,Diamonds,2.0,4.0
11-01,2000-11-01,6 of Diamonds,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,6,Diamonds,2.0,6.0
11-02,2000-11-02,5 of Diamonds,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,5,Diamonds,2.0,5.0
11-03,2000-11-03,4 of Diamonds,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,4,Diamonds,2.0,4.0
11-04,2000-11-04,3 of Diamonds,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,3,Diamonds,2.0,3.0
11-05,2000-11-05,2 of Diamonds,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,2,Diamonds,2.0,2.0
11-06,2000-11-06,Ace of Diamonds,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,,,,
11-07,2000-11-07,King of Clubs,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,,,,
11-08,2000-11-08,Queen of Clubs,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,,,,
11-09,2000-11-09,Jack of Clubs,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,,,,
11-10,2000-11-10,10 of Clubs,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,10,Clubs,3.0,10.0
11-11,2000-11-11,9 of Clubs,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,9,Clubs,3.0,9.0
11-12,2000-11-12,8 of Clubs,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,8,Clubs,3.0,8.0
11-13,2000-11-13,7 of Clubs,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,7,Clubs,3.0,7.0
11-14,2000-11-14,6 of Clubs,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,6,Clubs,3.0,6.0
11-15,2000-11-15,5 of Clubs,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,5,Clubs,3.0,5.0
11-16,2000-11-16,4 of Clubs,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,4,Clubs,3.0,4.0
11-17,2000-11-17,3 of Clubs,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,3,Clubs,3.0,3.0
11-18,2000-11-18,2 of Clubs,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,2,Clubs,3.0,2.0
11-19,2000-11-19,Ace of Clubs,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,,,,
11-20,2000-11-20,King of Hearts,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,,,,
11-21,2000-11-21,Queen of Hearts,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,,,,
11-22,2000-11-22,Jack of Hearts,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,,,,
11-23,2000-11-23,10 of Hearts,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,10,Hearts,4.0,10.0
11-24,2000-11-24,9 of Hearts,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,9,Hearts,4.0,9.0
11-25,2000-11-25,8 of Hearts,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,8,Hearts,4.0,8.0
11-26,2000-11-26,7 of Hearts,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,7,Hearts,4.0,7.0
11-27,2000-11-27,6 of Hearts,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,6,Hearts,4.0,6.0
11-28,2000-11-28,5 of Hearts,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,5,Hearts,4.0,5.0
11-29,2000-11-29,4 of Hearts,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,4,Hearts,4.0,4.0
11-30,2000-11-30,3 of Hearts,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,3,Hearts,4.0,3.0
12-01,2000-12-01,4 of Diamonds,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,4,Diamonds,2.0,4.0
12-02,2000-12-02,3 of Diamonds,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,3,Diamonds,2.0,3.0
12-03,2000-12-03,2 of Diamonds,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,2,Diamonds,2.0,2.0
12-04,2000-12-04,Ace of Diamonds,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,,,,
12-05,2000-12-05,King of Clubs,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,,,,
12-06,2000-12-06,Queen of Clubs,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,,,,
12-07,2000-12-07,Jack of Clubs,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,,,,
12-08,2000-12-08,10 of Clubs,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,10,Clubs,3.0,10.0
12-09,2000-12-09,9 of Clubs,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,9,Clubs,3.0,9.0
12-10,2000-12-10,8 of Clubs,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,8,Clubs,3.0,8.0
12-11,2000-12-11,7 of Clubs,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,7,Clubs,3.0,7.0
12-12,2000-12-12,6 of Clubs,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,6,Clubs,3.0,6.0
12-13,2000-12-13,5 of Clubs,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,5,Clubs,3.0,5.0
12-14,2000-12-14,4 of Clubs,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,4,Clubs,3.0,4.0
12-15,2000-12-15,3 of Clubs,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,3,Clubs,3.0,3.0
12-16,2000-12-16,2 of Clubs,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,2,Clubs,3.0,2.0
12-17,2000-12-17,Ace of Clubs,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,,,,
12-18,2000-12-18,King of Hearts,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,,,,
12-19,2000-12-19,Queen of Hearts,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,,,,
12-20,2000-12-20,Jack of Hearts,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,,,,
12-21,2000-12-21,10 of Hearts,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,10,Hearts,4.0,10.0
12-22,2000-12-22,9 of Hearts,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,9,Hearts,4.0,9.0
12-23,2000-12-23,8 of Hearts,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,8,Hearts,4.0,8.0
12-24,2000-12-24,7 of Hearts,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,7,Hearts,4.0,7.0
12-25,2000-12-25,6 of Hearts,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,6,Hearts,4.0,6.0
12-26,2000-12-26,5 of Hearts,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,5,Hearts,4.0,5.0
12-27,2000-12-27,4 of Hearts,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,4,Hearts,4.0,4.0
12-28,2000-12-28,3 of Hearts,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,3,Hearts,4.0,3.0
12-29,2000-12-29,2 of Hearts,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,2,Hearts,4.0,2.0
12-30,2000-12-30,Ace of Hearts,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,,,,
12-31,2000-12-31,Joker,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,Joker,Joker,5.0,14.0
